player_id,player_name,match_id,match_name,club,Minutes,total_distance,high_intensity_distance,sprint_distance,hi_runs,sprint_runs,position,division
2332,Jari De Busser,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,100.89800569800569,5312.28,6.73,0.0,1.0,0.0,GK,Eredivisie
241,Melle Meulensteen,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,30.49375,3317.72,185.29000000000002,78.06,3.0,3.0,DM,Eredivisie
2417,Oscar Pettersson,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,23.74146381988868,2857.76,322.47,85.98,10.0,2.0,RW,Eredivisie
2473,Yassir Rahmouni,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,42.97850741533825,5419.16,462.24,127.18,15.0,4.0,LW,Eredivisie
481,Finn Stokkers,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,13.51687743653133,1421.57,147.81,6.28,8.0,0.0,CF,Eredivisie
5,Evert Linthorst,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,87.38614703880192,10269.62,497.87,21.57,22.0,1.0,CM,Eredivisie
563,Joris Kramer,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,100.9043,10090.43,493.84,117.39,19.0,4.0,CB,Eredivisie
101,Kristoffer Peterson,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,77.46101815592738,8703.52,761.23,164.57,27.0,8.0,LW,Eredivisie
1429,Shawn Adewoye,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,77.79852045256744,8939.05,702.43,208.4,20.0,11.0,CB,Eredivisie
1503,Dimitrios Limnios,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,100.90422254440016,11135.79,627.18,86.03,29.0,5.0,RW,Eredivisie
1510,Mattijs Branderhorst,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,100.89340007415646,5442.19,68.83,9.21,4.0,1.0,GK,Eredivisie
1511,Iván Márquez,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,23.10413522487172,2296.32,114.93,35.03,3.0,2.0,CB,Eredivisie
1591,Ivo Daniel Ferreira Mendonça Pinto,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,77.79108407481387,8567.91,885.05,350.74,20.0,12.0,RB,Eredivisie
2163,Tristan Schenkhuizen,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,9.4763916267718,1009.52,48.47,2.74,5.0,0.0,CB,Eredivisie
2203,Philip Brittijn,20250808,Fortuna Sittard vs Go Ahead Eagles,Fortuna Sittard,100.89941474834178,12930.26,1356.6100000000001,287.69,51.0,13.0,CM,Eredivisie
